Time,Fees,Profit,Shares
1731615028.742053,3,440,88
1731615032.0992372,26,2000,2000
1731615032.099264,3,440,88
1731615035.579946,26,2000,2000
1731615035.579977,3,440,88
1731615039.210189,26,2000,2000
1731615039.210228,3,440,88
1731615043.407271,22,2000,500
1731615043.407296,26,2000,2000
1731615043.4073029,3,440,88
1731615046.959136,26,2000,2000
1731615046.959167,3,440,88
1731615050.21299,26,2000,2000
1731615050.2130198,3,440,88
1731615053.585682,26,2000,2000
1731615053.58585,3,440,88
1731615056.915392,26,2000,2000
1731615056.915411,3,440,88
1731615060.413972,26,2000,2000
1731615060.413989,3,440,88
1731615064.790634,3,400,50
1731615064.790669,26,2000,2000
1731615064.7908502,3,440,88
1731615070.19051,3,400,50
1731615070.190536,4,152,76
1731615070.190544,18,1250,1250
1731615070.190549,3,440,88
1731615073.649674,26,2000,2000
1731615073.649712,3,440,88
1731615078.2975202,9,340,340
1731615078.297545,26,2000,2000
1731615078.297549,3,440,88
1731615082.829519,31,1340,1340
1731615082.8295538,26,2000,2000
1731615082.829559,3,440,88
1731615087.387721,9,340,340
1731615087.3877509,26,2000,2000
1731615087.387756,3,440,88
1731615091.3955579,31,1340,1340
1731615091.395592,26,2000,2000
1731615091.395596,3,440,88
1731615094.850327,26,2000,2000
1731615094.850352,3,440,88
1731615098.443861,26,2000,2000
1731615098.443893,3,440,88
1731615101.807425,26,2000,2000
1731615101.807459,3,440,88
1731615105.219297,26,2000,2000
1731615105.219309,3,440,88
1731615108.5163221,26,2000,2000
1731615108.516351,3,440,88
1731615112.1146328,26,2000,2000
1731615112.1146722,3,440,88
1731615115.642674,26,2000,2000
1731615115.6427011,3,440,88
1731615119.122438,26,2000,2000
1731615119.122496,3,440,88
1731615122.56562,26,2000,2000
1731615122.565633,3,440,88
1731615126.001468,26,2000,2000
1731615126.001494,3,440,88
1731615128.9523,26,2000,2000
1731615128.952332,3,440,88
1731615132.288665,26,2000,2000
1731615132.288697,3,440,88
1731615135.277908,26,2000,2000
1731615135.278414,3,440,88
