Time,Fees,Profit,Shares
1731622033.720317,,,
1731622034.761902,,,
1731622035.79168,,,
1731622036.677374,,,
1731622037.710617,,,
1731622038.782132,,,
1731622039.826037,,,
1731622040.912912,,,
1731622041.9385788,,,
1731622042.988205,,,
1731622044.00273,,,
1731622045.044033,,,
1731622045.917789,,,
1731622046.925524,,,
1731622047.658981,,,
1731622048.734715,,,
1731622049.309228,,,
1731622050.3519738,,,
1731622051.26016,,,
1731622052.1187332,,,
1731622053.0613701,,,
1731622053.877713,,,
1731622054.6307788,,,
1731622055.453363,,,
1731622056.505632,,,
1731622057.549362,,,
1731622058.312649,,,
1731622059.12656,,,
1731622060.237665,,,
1731622061.2246988,,,
1731622062.268221,,,
1731622063.316145,,,
1731622064.365433,,,
1731622065.465846,,,
1731622066.520879,,,
1731622067.565731,,,
1731622068.67571,,,
1731622069.519615,,,
1731622070.1400719,,,
1731622071.18283,,,
1731622072.111758,,,
1731622072.919994,,,
1731622073.9402702,,,
1731622074.9262872,,,
1731622075.830274,,,
1731622076.826453,,,
1731622077.904196,,,
1731622078.945104,,,
1731622079.878078,,,
1731622080.808436,,,
1731622081.843209,,,
1731622082.901897,,,
1731622083.9465039,,,
1731622084.987338,,,
1731622086.0194309,,,
1731622087.060535,,,
1731622088.085428,,,
1731622089.143523,,,
1731622090.144972,,,
1731622091.216241,,,
1731622092.270668,,,
1731622093.325644,,,
1731622094.2532532,,,
1731622095.307178,,,
1731622096.348725,,,
1731622097.410532,,,
1731622098.42784,,,
1731622099.509027,,,
1731622100.6072772,,,
1731622101.494103,,,
1731622102.564394,,,
1731622103.4880269,,,
1731622104.552661,,,
1731622105.5722592,,,
1731622106.619904,,,
1731622107.7774599,,,
1731622108.633664,,,
1731622109.7112262,,,
1731622110.7579389,,,
1731622111.81644,,,
1731622112.840756,,,
1731622113.8948538,,,
1731622115.0056891,,,
1731622116.045065,,,
1731622117.080106,,,
1731622118.122277,,,
1731622119.170202,,,
1731622120.178215,,,
1731622121.220039,,,
1731622122.089393,,,
1731622123.144162,,,
1731622124.164646,,,
1731622125.177429,,,
1731622126.2119129,,,
1731622127.245943,,,
1731622128.25684,,,
1731622129.219509,,,
1731622130.288297,,,
1731622131.367579,,,
1731622132.44669,,,
1731622133.468106,,,
1731622134.514771,,,
1731622135.556559,,,
1731622136.480448,,,
1731622137.476767,,,
1731622138.541091,,,
1731622139.494714,,,
1731622140.529496,,,
1731622141.619277,,,
1731622142.524843,,,
1731622143.5505621,,,
1731622144.606571,,,
1731622145.4956439,,,
1731622146.545438,,,
1731622147.608303,,,
1731622148.660311,,,
1731622149.724637,,,
1731622150.770154,,,
1731622151.817783,,,
1731622152.867466,,,
1731622153.872902,,,
1731622154.897729,,,
1731622155.934061,,,
1731622156.991904,,,
1731622157.898895,,,
1731622158.948122,,,
1731622159.982751,,,
1731622161.0008981,,,
1731622162.0505788,,,
1731622163.1351511,,,
1731622164.192411,,,
1731622165.158731,,,
1731622166.036362,,,
1731622167.038573,,,
1731622168.1937962,,,
1731622169.121303,,,
1731622170.10223,,,
1731622171.1090891,,,
1731622172.1271858,,,
1731622173.214304,,,
1731622174.226945,,,
1731622175.2787762,,,
1731622176.1740842,,,
1731622177.1984909,,,
1731622178.065422,,,
1731622179.07812,,,
1731622180.091533,,,
1731622181.1107898,,,
1731622182.137737,,,
1731622183.237599,,,
1731622184.260569,,,
1731622185.279961,,,
1731622186.3347158,,,
1731622187.384728,,,
1731622188.4327848,,,
1731622189.500711,,,
1731622190.380896,,,
1731622191.416158,,,
1731622192.4792771,,,
1731622193.5841641,,,
1731622194.614012,,,
1731622195.6352,,,
1731622196.657825,,,
1731622197.718594,,,
1731622198.7483158,,,
1731622199.81037,,,
1731622200.87822,,,
1731622201.949641,,,
1731622202.966857,,,
1731622203.999404,,,
1731622205.059951,,,
1731622206.0908318,,,
1731622207.0904,,,
1731622207.995409,,,
1731622209.003872,,,
1731622210.030165,,,
1731622211.085747,,,
1731622212.0956821,,,
1731622213.1522272,,,
1731622214.1831932,,,
1731622215.277607,,,
1731622216.338249,,,
1731622217.3739378,,,
1731622218.4051452,,,
1731622219.45138,,,
1731622220.4871428,,,
1731622221.5544379,,,
1731622222.5844119,,,
1731622223.555145,,,
1731622224.580677,,,
1731622225.439554,,,
1731622226.4655292,,,
1731622227.524939,,,
1731622228.559924,,,
1731622229.482987,,,
1731622230.504888,,,
1731622231.547907,,,
1731622232.567266,,,
1731622233.5908852,,,
1731622234.6620412,,,
1731622235.678066,,,
1731622236.5991302,,,
1731622237.6281338,,,
1731622238.6349618,,,
1731622239.654919,,,
1731622240.69377,,,
1731622241.733089,,,
1731622242.8035588,,,
1731622243.8205419,,,
1731622244.851947,,,
1731622245.935787,,,
1731622247.004705,,,
1731622248.044499,,,
1731622249.094233,,,
1731622250.179828,,,
1731622251.16878,,,
1731622252.1239748,,,
1731622253.1627069,,,
1731622254.229312,,,
1731622255.141811,,,
1731622256.2180202,,,
1731622257.269278,,,
1731622258.372576,,,
1731622259.465527,,,
1731622260.49493,,,
1731622261.568722,,,
1731622262.501513,,,
1731622263.535666,,,
1731622264.6017652,,,
1731622265.51004,,,
1731622266.557636,,,
1731622267.5819461,,,
1731622268.6336489,,,
1731622269.724376,,,
1731622270.76843,,,
1731622271.7712152,,,
1731622272.845189,,,
1731622273.894606,,,
1731622274.957122,,,
1731622275.9742138,,,
1731622277.030886,,,
1731622278.0821278,,,
1731622279.105782,,,
1731622280.149659,,,
1731622281.197461,,,
1731622282.245753,,,
1731622283.2500942,,,
1731622284.32063,,,
1731622285.376392,,,
1731622286.413153,,,
1731622287.4795039,,,
1731622288.562021,,,
1731622289.627774,,,
1731622290.664651,,,
1731622291.672312,,,
1731622292.714638,,,
1731622293.685819,,,
1731622294.758933,,,
1731622295.8168058,,,
1731622296.6867101,,,
1731622297.7334888,,,
1731622298.796591,,,
1731622299.8531368,,,
1731622300.8830001,,,
1731622301.943635,,,
1731622302.970259,,,
1731622303.977056,,,
1731622305.0326898,,,
1731622306.067636,,,
1731622307.118977,,,
1731622307.9939609,,,
1731622309.0155442,,,
1731622310.061007,,,
1731622311.055371,,,
1731622312.067947,,,
1731622313.076011,,,
1731622313.968025,,,
1731622314.8495731,,,
1731622315.874539,,,
1731622316.92498,,,
1731622317.9494689,,,
1731622319.006733,,,
1731622320.0570502,,,
1731622321.0583801,,,
1731622322.091093,,,
1731622323.125003,,,
1731622324.1361458,,,
1731622325.1583,,,
1731622326.201668,,,
1731622327.083264,,,
1731622328.159701,,,
1731622329.242364,,,
1731622330.294919,,,
1731622331.318366,,,
1731622332.3478558,,,
1731622333.3489542,,,
1731622334.391517,,,
1731622335.410403,,,
1731622336.547667,,,
1731622337.603848,,,
1731622338.6349802,,,
1731622339.521067,,,
1731622340.5495229,,,
1731622341.586296,,,
1731622342.640896,,,
1731622343.7337239,,,
1731622344.7789729,,,
1731622345.805186,,,
1731622346.893319,,,
1731622347.978153,,,
1731622348.866395,,,
1731622349.916074,,,
1731622350.949279,,,
1731622351.857114,,,
1731622352.908104,,,
1731622353.922884,,,
1731622354.970277,,,
1731622355.860312,,,
1731622356.777086,,,
1731622357.80079,,,
1731622358.824021,,,
1731622359.892941,,,
1731622360.9342022,,,
1731622361.976157,,,
1731622363.075257,,,
1731622364.095008,,,
1731622364.9410481,,,
1731622365.957645,,,
1731622366.987044,,,
1731622368.014486,,,
1731622369.108164,,,
1731622370.118168,,,
1731622371.132564,,,
1731622372.202104,,,
1731622373.274343,,,
1731622374.367083,,,
1731622375.444326,,,
1731622376.45934,,,
1731622377.5353339,,,
1731622378.627439,,,
1731622379.691177,,,
1731622380.717373,,,
1731622381.808295,,,
1731622382.860586,,,
1731622383.910246,,,
1731622384.979125,,,
1731622386.0880482,,,
1731622387.168085,,,
1731622388.205396,,,
1731622389.2419462,,,
1731622390.290069,,,
1731622391.400836,,,
1731622392.472543,,,
1731622393.4949481,,,
1731622394.355544,,,
1731622395.404908,,,
1731622396.42957,,,
1731622397.4666429,,,
1731622398.495308,,,
1731622399.5389419,,,
1731622400.633997,,,
1731622401.553905,,,
1731622402.622571,,,
1731622403.7070432,,,
1731622404.776989,,,
1731622405.8136268,,,
1731622406.846526,,,
1731622407.893399,,,
1731622408.938804,,,
1731622409.969087,,,
1731622411.0125,,,
1731622412.035054,,,
1731622412.923753,,,
1731622413.981503,,,
1731622415.016394,,,
1731622416.047698,,,
1731622417.0991518,,,
1731622418.019109,,,
1731622419.079861,,,
1731622420.105217,,,
1731622421.153019,,,
1731622422.192564,,,
1731622423.240406,,,
1731622424.276768,,,
1731622425.321571,,,
1731622426.1906931,,,
1731622427.299602,,,
1731622428.37235,,,
1731622429.4201112,,,
